Group,List,Item,Sentence,Image,Condition,Link
1,1,43,The paper isn't torn.,paper fine xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3xDRq1mOymJ6rpI
1,1,44,The pineapple is sliced.,pineapplenotsliced xx1 true.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3UUAAIRRTTIt1fE
1,1,45,The plant is alive.,plant dead xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8GqfYpUKISg8QxU
1,1,46,The plate isn't shattered.,plate fine xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9yQgzWHEFljkCtU
1,1,47,The rucksack isn't open.,rucksack open xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3IvWmHXW5zPGtQW
1,1,48,The saucepan is empty.,saucepanempty 1xx true.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5jULSrczBywqg0m
1,1,49,The scarf is folded.,scarfnotfolded xx1 false.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0ImzfC2ALyC3Dj8
1,1,50,The shirt isn't ironed.,shirtnotcrumpled x1x true.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3qliQtlgkRZMAjI
1,1,51,The small pool isn't inflated.,smallpoolnotinflated true xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d6kjLadttyTNIou
1,1,52,The spaghetti is raw.,spaghettinotcooked x1x false.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ezmHvKpsN7BPGWW
1,1,53,The tennis racket is broken.,tennisracketbroken x1x false.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6mc0M6DmktH3un4
1,1,54,The tent isn't put up.,tentnotputup true xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a5iLpBAZkNnIVb8
1,1,55,The tie isn't tied.,tienottied false xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4VeYELNLnsjoSx0
1,1,56,The tomato is skinned.,tomato skinned xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_41QDDQDlFTuM2Im
1,1,57,The T-shirt is clean.,tshirt clean xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4YjynuR2NonMoei
1,1,58,The TV isn't on.,TV on xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ekvAUlMXKlSFsFM
1,1,59,The tyre isn't deflated.,tyrenotinflated x1x false.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2osgFTB3tQUFbi6
1,1,60,The umbrella is open.,umbrellanotopen 1xx true.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6A5mjkRaJMOoFnM
1,1,61,The wall is painted.,wall notpainted xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8wy93EUERTZ8pMi
1,1,62,The window isn't shut.,windownotsut x1x true.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5iMGNC1Xg8F88xo
1,1,63,The wine glass isn't cracked.,wineglasscracked xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_elZCjOng0XtnPDg
1,1,64,The Christmas tree is decorated.,xmastree decorated xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2htuyuxMChyQ7JA
2,2,1,The apple is cored.,apple notcored xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1Ghv6z8kUHUUaiy
2,2,2,The banana isn't peeled.,applepeeled true xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cAzmtC7ZBX4bydg
2,2,3,The apricots aren't dried.,apricots dry xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1QSGaJd40ZkaJBc
2,2,4,The balloon is blown up.,balloonnotblowup 1xx false.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_55w4iHmyEq5PEc6
2,2,5,The beer glass is empty.,beerglass empty xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9MnZ3LWJsbV8UE6
2,2,6,The bike isn't folded.,bike folded xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8dDC9VGTCUVRVSC
2,2,7,The blackboard isn't clean.,blackboard written xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cCLzt5gWIL9M8Mm
2,2,8,The boots are clean.,bootsdirty true xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d0tk6PkJwDCahcG
2,2,9,The bread is sliced.,breadnotsliced xx1 true.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_54hwle9BVFWeG6q
2,2,10,The British flag isn't still.,britishflagnotfluttering false xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dm8QYdLBhUQokHc
2,2,11,The cabinet isn't closed.,cabinetnotclosed false xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3eocNJ4eTY2Wscu
2,2,12,The candle is lit.,candlenotlit 1xx false.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9G0KHZRVmgb4wVE
2,2,13,The cardboard box is open.,cardboardboxnotopen false xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3WrpzUzAgGy04tg
2,2,14,The carrots aren't diced.,carrots diced xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8GjXcPsLVnPYURw
2,2,15,The CD isn't scratched.,cdnotscratched true xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d5d5skLGPD2iMR0
2,2,16,The chair is folded.,chairnotfolded xx1 true.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3l0q2MvNKOMPiPY
2,2,17,The chicken is cooked.,chicken raw xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Zt0EkORKAIKtMy
2,2,18,The chocolate cake isn't sliced.,chocolatecakesliced false xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bObbCzOFuGezUUe
2,2,19,The coke can isn't squashed.,cokecan squashed xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3JgVAGzzHOnM2Bo
2,2,20,The cricket bat is broken.,cricketbatbroken true xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0HeAAyYdUjVYdsW
2,2,21,The cupcake is iced.,cupcake iced xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eaIuWlIb813YIvA
2,2,22,The cup isn't full.,cupfull true xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_78lc2s3bCMzdBf8
2,2,23,The desk isn't messy.,desk tidy xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eQmvTjY3Xn11pWK
2,2,24,The dictionary is closed.,dictionaryclosed 1xx false.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5zDdUU1qi5vEzZA
2,2,25,The dishes are clean.,dishes dirty xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_097bWlYyMOn8h7w
2,2,26,The egg isn't cracked.,eggnotcracked 1xx true.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9ZiERQgH5bm1BYO
2,2,27,The envelop isn't sealed.,envelopnotsealed 1xx false.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8k0ODZ0sfFUPSjc
2,2,28,The fireplace is lit.,fireplacenotlit false xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cT0iKuecsz9OoBg
2,2,29,The football is blown up.,footballnotblowup false xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_03pyTNefzCB6uou
2,2,30,The frying pan isn't full.,fryingpanempty false xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cuVoPZDGVYppiho
2,2,31,The garlic isn't chopped.,garlic whole xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bfP8XnBkgkxcxCu
2,2,32,The glass is empty.,glassnotempty true xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4MVn11gFOZQaaLI
2,2,33,The glove is dry.,glove wet xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3PEIgoAcpV6AnKC
2,2,34,The helicopter isn't airborne.,helicopter onground xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2gjK3phfvto2vPw
2,2,35,The ice cream isn't melted.,icecreamnotmelted false xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eJwS3oWERCPLSRw
2,2,36,The jar is sealed.,jar sealed xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_39utEgTyDa7ioOG
2,2,37,The jeans are crumpled.,jeansnotcrumpled false xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_41szyrLNsIwsbjw
2,2,38,The laptop isn't plugged in.,laptop pluggedin xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bxaL4sP8wshaxtY
2,2,39,The lorry isn't dirty.,lorryclean true xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0vOsJCLnACCBck6
2,2,40,The map is closed.,mapnotclosed true xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eyVCi6BWlmGzCTk
2,2,41,The oil painting is framed.,oilpaintingframed x1x false.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0psdspQqc9uhkTI
2,2,42,The orange isn't peeled.,orangenotpeeled xx1 true.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_e4jrq29xnLCbxWe
2,2,43,The paper isn't torn.,paper torn xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8tStwtPt6Za23VY
2,2,44,The pineapple is sliced.,pineapplenotsliced xx1 false.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_efVxkdOv8OoU3wW
2,2,45,The plant is alive.,plant alive xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1IlgMz2duzHD47I
2,2,46,The plate isn't shattered.,plate shattered xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1XGIC42NdYB5hdQ
2,2,47,The rucksack isn't open.,rucksack closed xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7ZFso7E9JjOrRv8
2,2,48,The saucepan is empty.,saucepanempty 1xx false.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5ot9L5A8B1SSZ9k
2,2,49,The scarf is folded.,scarfnotfolded xx1 true.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_02jK34IHz2gIltc
2,2,50,The shirt isn't ironed.,shirtnotcrumpled x1x false.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6QEuySyRUjYdgKG
2,2,51,The small pool isn't inflated.,smallpoolnotinflated false xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_e3WosPsHIwkgE0C
2,2,52,The spaghetti is raw.,spaghettinotcooked x1x true.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3PBLDeI3Als0zk2
2,2,53,The tennis racket is broken.,tennisracketbroken x1x true.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_83a21jQ7vBYi1dc
2,2,54,The tent isn't put up.,tentnotputup false xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6mmT0cfwL051m2G
2,2,55,The tie isn't tied.,tienottied true xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eJvzep3iuzPaYNU
2,2,56,The tomato is skinned.,tomato hasskin xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8ljhtnBSSaLCRSu
2,2,57,The T-shirt is clean.,tshirt stained xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2nKoy3U7fsUrKg6
2,2,58,The TV isn't on.,TV off xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5p7B70p8m9vzUkm
2,2,59,The tyre isn't deflated.,tyrenotinflated x1x true.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_55PVQH7LXkAV5Qy
2,2,60,The umbrella is open.,umbrellanotopen 1xx false.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6VSmAwHhQ832lBs
2,2,61,The wall is painted.,wall painted xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_86NMNSgVShxpZVs
2,2,62,The window isn't shut.,windownotsut x1x false.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_23G8FtioRlURnxQ
2,2,63,The wine glass isn't cracked.,wineglassfine xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1HLGnIy4QlinF6C
2,2,64,The Christmas tree is decorated.,xmastree bare xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d6ZbQSM6kotXMOO
3,3,1,The apple isn't cored.,apple notcored xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1Ghv6z8kUHUUaiy
3,3,2,The banana is peeled.,applepeeled true xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cAzmtC7ZBX4bydg
3,3,3,The apricots are dried.,apricots dry xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1QSGaJd40ZkaJBc
3,3,4,The balloon isn't blown up.,balloonnotblowup 1xx false.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_55w4iHmyEq5PEc6
3,3,5,The beer glass isn't empty.,beerglass empty xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9MnZ3LWJsbV8UE6
3,3,6,The bike is folded.,bike folded xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8dDC9VGTCUVRVSC
3,3,7,The blackboard is clean.,blackboard written xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cCLzt5gWIL9M8Mm
3,3,8,The boots aren't clean.,bootsdirty true xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d0tk6PkJwDCahcG
3,3,9,The bread isn't sliced.,breadnotsliced xx1 true.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_54hwle9BVFWeG6q
3,3,10,The British flag is still.,britishflagnotfluttering false xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dm8QYdLBhUQokHc
3,3,11,The cabinet is closed.,cabinetnotclosed false xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3eocNJ4eTY2Wscu
3,3,12,The candle isn't lit.,candlenotlit 1xx false.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9G0KHZRVmgb4wVE
3,3,13,The cardboard box isn't open.,cardboardboxnotopen false xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3WrpzUzAgGy04tg
3,3,14,The carrots are diced.,carrots diced xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8GjXcPsLVnPYURw
3,3,15,The CD is scratched.,cdnotscratched true xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d5d5skLGPD2iMR0
3,3,16,The chair isn't folded.,chairnotfolded xx1 true.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3l0q2MvNKOMPiPY
3,3,17,The chicken isn't cooked.,chicken raw xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Zt0EkORKAIKtMy
3,3,18,The chocolate cake is sliced.,chocolatecakesliced false xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bObbCzOFuGezUUe
3,3,19,The coke can is squashed.,cokecan squashed xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3JgVAGzzHOnM2Bo
3,3,20,The cricket bat isn't broken.,cricketbatbroken true xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0HeAAyYdUjVYdsW
3,3,21,The cupcake isn't iced.,cupcake iced xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eaIuWlIb813YIvA
3,3,22,The cup is full.,cupfull true xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_78lc2s3bCMzdBf8
3,3,23,The desk is messy.,desk tidy xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eQmvTjY3Xn11pWK
3,3,24,The dictionary isn't closed.,dictionaryclosed 1xx false.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5zDdUU1qi5vEzZA
3,3,25,The dishes aren't clean.,dishes dirty xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_097bWlYyMOn8h7w
3,3,26,The egg is cracked.,eggnotcracked 1xx true.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9ZiERQgH5bm1BYO
3,3,27,The envelop is sealed.,envelopnotsealed 1xx false.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8k0ODZ0sfFUPSjc
3,3,28,The fireplace isn't lit.,fireplacenotlit false xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cT0iKuecsz9OoBg
3,3,29,The football isn't blown up.,footballnotblowup false xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_03pyTNefzCB6uou
3,3,30,The frying pan is full.,fryingpanempty false xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cuVoPZDGVYppiho
3,3,31,The garlic is chopped.,garlic whole xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bfP8XnBkgkxcxCu
3,3,32,The glass isn't empty.,glassnotempty true xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4MVn11gFOZQaaLI
3,3,33,The glove isn't dry.,glove wet xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3PEIgoAcpV6AnKC
3,3,34,The helicopter is airborne.,helicopter onground xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2gjK3phfvto2vPw
